[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2014-05-18 15:10:19] EDIT careSeeker/views/layout.html: -2
[2014-05-18 15:10:51] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:10:52] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:17:48] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/bootstrap.min.js: 6
[2014-05-18 15:18:55] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/jquery-1.11.0.min.js: 4
[2014-05-18 15:19:44] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/formTest.js: 160
[2014-05-18 15:22:21] EDIT careSeeker/views/layout.html: -2
[2014-05-18 15:22:30] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:22:31] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:26:25] EDIT careSeeker/views/layout.html: -4
[2014-05-18 15:26:26] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:26:47] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:27:12] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/bootstrap.min.css: 6
[2014-05-18 15:30:05] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:32:32] EDIT careSeeker/views/layout.html: 0
[2014-05-18 15:37:34] EDIT careSeeker/views/layout.html: 1
[2014-05-18 15:37:35] EDIT careSeeker/views/layout.html: 0
[2014-05-18 16:13:06] EDIT careSeeker/models/db.py: 0
[2014-05-18 16:13:06] EDIT careSeeker/models/db.py: 0
[2014-05-18 16:16:10] EDIT careSeeker/models/db.py: 0
[2014-05-18 16:16:11] EDIT careSeeker/models/db.py: 0
[2014-05-18 16:18:17] EDIT careSeeker/views/appadmin.html: 2
[2014-05-18 16:18:17] EDIT careSeeker/views/appadmin.html: 0
[2014-05-18 18:26:44] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 18:26:45] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 18:28:46] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 18:28:47] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 18:30:02] EDIT careSeeker/views/default/index.html: -25
[2014-05-18 18:30:03] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 18:31:41] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:08:41] EDIT careSeeker/views/default/index.html: 31
[2014-05-18 19:10:24] EDIT careSeeker/views/default/index.html: 1
[2014-05-18 19:14:40] EDIT careSeeker/controllers/default.py: 6
[2014-05-18 19:14:53] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:17:48] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 19:19:57] EDIT careSeeker/views/default/index.html: 1
[2014-05-18 19:19:57] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 19:21:57] EDIT careSeeker/views/default/index.html: -1
[2014-05-18 19:21:58] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 19:23:36] EDIT careSeeker/views/default/index.html: 2
[2014-05-18 19:26:16] EDIT careSeeker/views/default/index.html: 1
[2014-05-18 19:26:17] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 19:27:56] EDIT careSeeker/views/default/index.html: 2
[2014-05-18 19:28:06] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 19:28:07] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 19:30:05] EDIT careSeeker/views/layout.html: 1
[2014-05-18 19:30:06] EDIT careSeeker/views/layout.html: 0
[2014-05-18 19:30:16] EDIT careSeeker/views/layout.html: 0
[2014-05-18 19:31:08] EDIT careSeeker/views/layout.html: 0
[2014-05-18 19:34:51] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:34:52] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:47:54] EDIT careSeeker/controllers/default.py: -1
[2014-05-18 19:48:10] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:48:10] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:49:17] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:49:18] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:49:19] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:50:35] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:50:36] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:52:49] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:52:50] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 19:52:51] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 20:28:41] EDIT careSeeker/views/layout.html: -4
[2014-05-18 20:30:15] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 20:31:12] CREATE registration.html: 0
[2014-05-18 20:31:50] EDIT careSeeker/views/registration.html: 0
[2014-05-18 20:33:31] EDIT careSeeker/controllers/default.py: 1
[2014-05-18 20:33:32] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 20:33:40] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 21:36:11] EDIT careSeeker/models/db.py: 2
[2014-05-18 21:36:23] EDIT careSeeker/models/db.py: 0
[2014-05-18 21:59:00] EDIT careSeeker/views/default/index.html: -80
[2014-05-18 22:03:16] EDIT careSeeker/views/default/index.html: 1
[2014-05-18 22:03:17] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 22:04:18] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 22:04:18] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 22:04:24] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 22:04:25] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 22:06:27] EDIT careSeeker/views/default/index.html: 1
[2014-05-18 22:06:28] EDIT careSeeker/views/default/index.html: 0
[2014-05-18 22:20:13] EDIT careSeeker/views/registration.html: 41
[2014-05-18 22:20:14] EDIT careSeeker/views/registration.html: 0
[2014-05-18 22:22:35] DELETE careSeeker/views/registration.html: -44
[2014-05-18 22:22:50] CREATE default/registration.html: 0
[2014-05-18 22:25:51] EDIT careSeeker/views/default/registration.html: 41
[2014-05-18 22:25:52] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:30:17] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:30:19] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:35:02] EDIT careSeeker/views/default/registration.html: 2
[2014-05-18 22:35:02] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:35:43] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:35:44] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:36:31] EDIT careSeeker/views/default/registration.html: 2
[2014-05-18 22:36:31] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:36:51] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:38:39] EDIT careSeeker/views/default/registration.html: -2
[2014-05-18 22:40:26] EDIT careSeeker/views/default/registration.html: 2
[2014-05-18 22:43:28] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:47:33] EDIT careSeeker/views/default/registration.html: 2
[2014-05-18 22:47:33] EDIT careSeeker/views/default/registration.html: 0
[2014-05-18 22:48:02] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 22:48:02] EDIT careSeeker/controllers/default.py: 0
[2014-05-18 22:49:34] EDIT careSeeker/views/default/registration.html: 1
[2014-05-18 22:54:44] EDIT careSeeker/models/db.py: 0
[2014-05-18 22:56:58] EDIT careSeeker/models/db.py: 0
[2014-05-18 22:56:59] EDIT careSeeker/models/db.py: 0
[2014-05-18 22:58:40] EDIT careSeeker/models/db.py: 0
[2014-05-18 23:02:04] EDIT careSeeker/models/db.py: 0
[2014-05-18 23:03:53] EDIT careSeeker/models/db.py: 0
[2014-05-18 23:08:22] EDIT careSeeker/models/db.py: 0
[2014-05-18 23:08:22] EDIT careSeeker/models/db.py: 0
[2014-05-18 23:16:14] EDIT careSeeker/views/default/registration.html: 0
[2014-05-19 00:53:58] EDIT careSeeker/views/default/user.html: 2
[2014-05-19 00:53:59] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 00:59:47] EDIT careSeeker/models/db.py: 6
[2014-05-19 01:01:09] EDIT careSeeker/models/db.py: 0
[2014-05-19 01:03:13] EDIT careSeeker/models/db.py: -11
[2014-05-19 01:05:55] EDIT careSeeker/models/db.py: -2
[2014-05-19 01:05:56] EDIT careSeeker/models/db.py: 0
[2014-05-19 01:06:49] EDIT careSeeker/models/db.py: 0
[2014-05-19 01:20:34] EDIT careSeeker/views/default/index.html: 1
[2014-05-19 01:20:59] EDIT careSeeker/views/default/index.html: -2
[2014-05-19 01:24:54] EDIT careSeeker/views/layout.html.1: 0
[2014-05-19 02:27:18] EDIT careSeeker/models/db.py: 0
[2014-05-19 02:47:59] EDIT careSeeker/views/default/user.html: 9
[2014-05-19 02:49:18] EDIT careSeeker/views/default/user.html: 2
[2014-05-19 03:00:51] EDIT careSeeker/views/default/user.html: -3
[2014-05-19 03:00:52] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 03:01:47] EDIT careSeeker/views/default/user.html: -11
[2014-05-19 03:03:35] EDIT careSeeker/views/layout.html: 0
[2014-05-19 03:09:18] EDIT careSeeker/controllers/default.py: 1
[2014-05-19 03:32:42] EDIT careSeeker/controllers/default.py: 2
[2014-05-19 03:57:41] EDIT careSeeker/models/db.py: 5
[2014-05-19 03:57:47] EDIT careSeeker/models/db.py: 0
[2014-05-19 03:57:50] EDIT careSeeker/models/db.py: 0
[2014-05-19 04:01:07] EDIT careSeeker/models/db.py: 0
[2014-05-19 04:03:46] EDIT careSeeker/models/db.py: 5
[2014-05-19 04:03:57] EDIT careSeeker/models/db.py: 0
[2014-05-19 04:08:22] EDIT careSeeker/controllers/default.py: 1
[2014-05-19 04:15:11] EDIT careSeeker/controllers/default.py: 1
[2014-05-19 04:15:13] EDIT careSeeker/controllers/default.py: 0
[2014-05-19 04:30:33] EDIT careSeeker/views/default/user.html: 4
[2014-05-19 04:31:50] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:32:09] EDIT careSeeker/views/default/user.html: 1
[2014-05-19 04:32:31] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:32:32] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:32:33] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:32:34] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:33:10] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:33:11] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:34:44] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:35:24] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:36:15] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:39:19] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:39:20] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:39:47] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:41:45] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:42:41] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:43:24] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:43:26] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:45:57] EDIT careSeeker/views/default/user.html: -3
[2014-05-19 04:46:26] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 04:47:36] EDIT careSeeker/controllers/default.py: -1
[2014-05-19 04:48:17] EDIT careSeeker/views/default/user.html: 3
[2014-05-19 12:25:53] EDIT careSeeker/views/default/index.html: 18
[2014-05-19 12:32:55] EDIT careSeeker/views/default/index.html: -19
[2014-05-19 13:03:33] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/sanitise.js: 8
[2014-05-19 13:03:42] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/search.js: 92
[2014-05-19 13:03:56] UPLOAD C:/Users/4524/Documents/web2py_win/web2py/applications/careSeeker/static/userReg.js: 110
[2014-05-19 13:05:22] EDIT careSeeker/views/default/index.html: 3
[2014-05-19 13:05:24] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:06:50] EDIT careSeeker/views/default/index.html: 17
[2014-05-19 13:07:28] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:10:44] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:13:35] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:13:38] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:13:39] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:14:10] EDIT careSeeker/controllers/default.py: 0
[2014-05-19 13:15:27] EDIT careSeeker/views/default/index.html: -3
[2014-05-19 13:19:10] EDIT careSeeker/views/default/index.html: -14
[2014-05-19 13:25:42] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:26:53] EDIT careSeeker/static/userReg.js: 6
[2014-05-19 13:27:22] EDIT careSeeker/static/userReg.js: 0
[2014-05-19 13:29:14] EDIT careSeeker/static/userReg.js: 0
[2014-05-19 13:30:08] EDIT careSeeker/views/default/index.html: 17
[2014-05-19 13:30:35] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:30:36] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:39:09] EDIT careSeeker/static/userReg.js: 12
[2014-05-19 13:39:50] EDIT careSeeker/views/default/index.html: -17
[2014-05-19 13:40:05] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:42:27] EDIT careSeeker/views/layout.html: 3
[2014-05-19 13:45:13] EDIT careSeeker/static/userReg.js: 1
[2014-05-19 13:45:57] EDIT careSeeker/static/userReg.js: 0
[2014-05-19 13:45:58] EDIT careSeeker/static/userReg.js: 0
[2014-05-19 13:50:57] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:51:55] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 13:51:56] EDIT careSeeker/views/default/user.html: 0
[2014-05-19 13:53:33] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:54:01] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:56:03] EDIT careSeeker/controllers/default.py: 0
[2014-05-19 13:58:55] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 13:58:56] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 14:01:11] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 14:03:34] EDIT careSeeker/controllers/default.py: 0
[2014-05-19 14:03:35] EDIT careSeeker/controllers/default.py: 0
[2014-05-19 14:06:15] EDIT careSeeker/views/default/index.html: 3
[2014-05-19 14:07:19] EDIT careSeeker/views/default/index.html: 2
[2014-05-19 14:07:40] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 14:07:54] EDIT careSeeker/views/default/index.html: 0
[2014-05-19 14:08:41] EDIT careSeeker/views/default/index.html: -1
[2014-05-19 14:17:49] EDIT careSeeker/controllers/default.py: 2
[2014-05-19 14:21:29] EDIT careSeeker/controllers/default.py: 0
[2014-05-19 14:21:54] EDIT careSeeker/controllers/default.py: -7
[2014-05-19 14:22:03] EDIT careSeeker/controllers/default.py: -2
[2014-05-19 14:26:59] EDIT careSeeker/models/db.py: 0
[2014-05-21 09:47:35] EDIT careSeeker/controllers/default.py: 14
[2014-05-21 09:47:36] EDIT careSeeker/controllers/default.py: 0
[2014-05-21 09:47:55] EDIT careSeeker/controllers/default.py: 0
[2014-05-21 09:47:57] EDIT careSeeker/controllers/default.py: 0
[2014-05-21 09:48:07] EDIT careSeeker/controllers/default.py: 0
[2014-05-21 09:49:45] CREATE default/about.html: 0
[2014-05-21 09:51:26] EDIT careSeeker/views/default/about.html: 5
[2014-05-21 09:52:44] CREATE default/contact.html: 0
[2014-05-21 09:53:42] EDIT careSeeker/views/default/contact.html: 1
[2014-05-21 09:54:07] EDIT careSeeker/views/default/contact.html: 0
[2014-05-21 09:58:07] EDIT careSeeker/views/layout.html: 4
[2014-05-21 09:58:53] CREATE default/dashboard.html: 0
[2014-05-21 10:00:22] EDIT careSeeker/views/default/dashboard.html: 12
[2014-05-21 10:00:24] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:01:05] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:03:03] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:03:43] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:05:51] EDIT careSeeker/views/default/dashboard.html: -1
[2014-05-21 10:05:52] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:08:44] EDIT careSeeker/views/default/dashboard.html: 40
[2014-05-21 10:08:45] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:10:22] CREATE default/feedback.html: 0
[2014-05-21 10:11:05] EDIT careSeeker/views/default/feedback.html: 1
[2014-05-21 10:12:51] CREATE profile_layout.html: 0
[2014-05-21 10:14:56] EDIT careSeeker/views/profile_layout.html: 14
[2014-05-21 10:14:57] EDIT careSeeker/views/profile_layout.html: 0
[2014-05-21 10:15:23] EDIT careSeeker/views/profile_layout.html: 2
[2014-05-21 10:15:34] EDIT careSeeker/views/profile_layout.html: 1
[2014-05-21 10:16:06] EDIT careSeeker/views/default/dashboard.html: -12
[2014-05-21 10:16:08] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:16:30] EDIT careSeeker/views/profile_layout.html: -1
[2014-05-21 10:16:48] EDIT careSeeker/views/default/dashboard.html: -2
[2014-05-21 10:17:46] CREATE default/help.html: 0
[2014-05-21 10:18:28] EDIT careSeeker/views/default/help.html: 0
[2014-05-21 10:19:05] EDIT careSeeker/views/default/help.html: 43
[2014-05-21 10:19:44] EDIT careSeeker/controllers/default.py: 2
[2014-05-21 10:23:34] CREATE default/legal.html: 0
[2014-05-21 10:24:10] EDIT careSeeker/views/default/legal.html: 3
[2014-05-21 10:24:41] CREATE default/privacy.html: 0
[2014-05-21 10:25:43] EDIT careSeeker/views/default/privacy.html: 3
[2014-05-21 10:26:01] CREATE default/search.html: 0
[2014-05-21 10:28:32] EDIT careSeeker/views/default/search.html: 43
[2014-05-21 10:29:03] EDIT careSeeker/views/default/search.html: -1
[2014-05-21 10:29:20] EDIT careSeeker/views/default/search.html: 1
[2014-05-21 10:29:59] EDIT careSeeker/views/default/search.html: 0
[2014-05-21 10:30:30] EDIT careSeeker/views/default/search.html: 0
[2014-05-21 10:31:00] EDIT careSeeker/views/default/search.html: 0
[2014-05-21 10:31:59] EDIT careSeeker/views/profile_layout.html: 0
[2014-05-21 10:34:05] EDIT careSeeker/views/default/dashboard.html: 1
[2014-05-21 10:34:05] EDIT careSeeker/views/default/dashboard.html: 0
[2014-05-21 10:34:56] CREATE default/settings.html: 0
[2014-05-21 10:36:13] EDIT careSeeker/views/default/settings.html: 67
[2014-05-21 10:38:26] EDIT careSeeker/controllers/default.py: 4
[2014-05-21 10:38:39] DELETE careSeeker/views/layout.html.1: -73
[2014-05-21 10:39:49] EDIT careSeeker/views/layout.html: 0
[2014-05-21 10:40:35] EDIT careSeeker/views/layout.html: 0
[2014-05-22 16:32:07] EDIT careSeeker/views/profile_layout.html: 0
[2014-05-22 16:33:54] EDIT careSeeker/views/default/search.html: 0
[2014-05-22 16:33:59] EDIT careSeeker/views/default/search.html: 0
[2014-05-22 16:34:15] EDIT careSeeker/views/default/search.html: -1
[2014-05-22 16:34:20] EDIT careSeeker/views/default/search.html: 0
[2014-05-22 16:39:50] EDIT careSeeker/controllers/default.py: 1
[2014-05-22 16:42:30] EDIT careSeeker/controllers/default.py: 12
[2014-05-22 16:43:03] EDIT careSeeker/views/default/help.html: 1
[2014-05-22 16:46:14] EDIT careSeeker/views/default/help.html: 0
[2014-05-22 16:51:34] EDIT careSeeker/views/default/help.html: 0
[2014-05-22 16:52:01] EDIT careSeeker/views/default/help.html: 0
[2014-05-22 16:52:17] EDIT careSeeker/views/default/help.html: -1
[2014-05-22 16:54:39] EDIT careSeeker/controllers/default.py: 11
[2014-05-22 16:54:44] EDIT careSeeker/controllers/default.py: 0
[2014-05-22 16:54:55] EDIT careSeeker/controllers/default.py: 0
[2014-05-22 16:55:35] EDIT careSeeker/controllers/default.py: 0
[2014-05-22 16:56:28] EDIT careSeeker/views/default/help.html: 1
[2014-05-22 16:57:18] EDIT careSeeker/views/default/help.html: 0
[2014-05-22 16:58:21] CREATE mail.py: 0
[2014-05-22 16:58:37] EDIT careSeeker/controllers/mail.py: 28
[2014-05-22 16:58:49] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 16:59:04] EDIT careSeeker/views/default/help.html: 0
[2014-05-22 16:59:56] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:00:13] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:00:18] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:00:22] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:01:21] EDIT careSeeker/controllers/mail.py: 1
[2014-05-22 17:01:43] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:01:59] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:02:31] EDIT careSeeker/controllers/mail.py: -3
[2014-05-22 17:02:43] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:03:06] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:03:27] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:03:52] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:04:35] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:04:46] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:05:00] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:05:18] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:05:35] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:05:45] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:07:02] EDIT careSeeker/controllers/mail.py: -2
[2014-05-22 17:08:18] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:13:10] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:15:08] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:15:14] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:15:33] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:16:33] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:16:41] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:16:43] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:17:11] EDIT careSeeker/controllers/mail.py: 1
[2014-05-22 17:19:00] EDIT careSeeker/controllers/mail.py: 3
[2014-05-22 17:19:30] EDIT careSeeker/controllers/mail.py: -1
[2014-05-22 17:19:45] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:20:01] EDIT careSeeker/controllers/mail.py: -1
[2014-05-22 17:20:40] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:20:48] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:21:13] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:22:09] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:22:17] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:22:50] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:23:01] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:23:34] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:23:45] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:24:09] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:24:44] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:24:54] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:26:56] EDIT careSeeker/controllers/mail.py: 2
[2014-05-22 17:27:17] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:27:49] EDIT careSeeker/controllers/mail.py: -1
[2014-05-22 17:27:55] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:28:03] EDIT careSeeker/controllers/mail.py: -1
[2014-05-22 17:28:27] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:28:51] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:30:22] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:30:24] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:30:34] EDIT careSeeker/controllers/mail.py: 0
[2014-05-22 17:30:42] EDIT careSeeker/controllers/mail.py: 0
